datetime,POWER (KW)
2022-01-31,1896061.992910116
2022-02-28,1772553.1284518775
2022-03-31,2057751.776885211
2022-04-30,1313065.3113468296
2022-05-31,1188080.224044676
2022-06-30,1175521.1675118972
2022-07-31,1562814.1633185965
2022-08-31,1606465.8240169922
2022-09-30,1482726.30420576
2022-10-31,1368980.0615512119
2022-11-30,1218646.5570256608
2022-12-31,1890602.4887311696
