datetime,POWER (KW)
2022-06-03,78994.27749891927
2022-06-04,66951.79652240234
2022-06-05,28377.456492941084
2022-06-06,27732.98557670058
2022-06-07,60213.36026163639
2022-06-08,51329.99743935997
2022-06-09,43369.96727635666
2022-06-10,54184.23203630415
2022-06-11,40070.44106611602
2022-06-12,43141.25579698062
2022-06-13,27405.720467515916
2022-06-14,23505.93817611887
2022-06-15,25106.007937937116
2022-06-16,26681.648514521818
2022-06-17,28233.355522523387
2022-06-18,29463.769630169045
2022-06-19,26581.624126926574
2022-06-20,32485.95750720585
2022-06-21,36478.15063856532
2022-06-22,36626.017753345295
2022-06-23,34555.845418626806
2022-06-24,29652.23160670673
2022-06-25,34347.228277953705
2022-06-26,33975.37064600979
2022-06-27,33181.83004390898
2022-06-28,35361.85046501715
2022-06-29,43147.30517802252
2022-06-30,43771.954028961496
2022-07-01,61599.31188062155
2022-07-02,63544.425270275955
2022-07-03,80250.14460847106
2022-07-04,61145.02553863097
2022-07-05,30734.4088306715
2022-07-06,29326.140571925658
2022-07-07,61149.40114192372
2022-07-08,64788.12461892118
2022-07-09,22215.98070035556
2022-07-10,60105.35182682444
2022-07-11,36737.07658420563
2022-07-12,44304.95175659952
2022-07-13,44104.187853588795
2022-07-14,47132.843556104766
2022-07-15,28955.465187775655
2022-07-16,47120.98039735541
2022-07-17,63900.07263685447
2022-07-18,59289.284122293044
2022-07-19,50068.04427869931
2022-07-20,60414.879794613444
2022-07-21,27005.82593709747
2022-07-22,20869.04342975658
2022-07-23,26635.930592895354
2022-07-24,38437.01638919294
2022-07-25,49032.49903744868
2022-07-26,56238.16969567568
2022-07-27,63565.82784894899
2022-07-28,72796.17217682181
2022-07-29,59532.7636059246
2022-07-30,62426.98360569602
2022-07-31,65253.514402999645
2022-08-01,67076.59545415045
2022-08-02,63816.85571346966
2022-08-03,79588.602128009
2022-08-04,62048.25579600017
2022-08-05,29445.23548155125
2022-08-06,27295.193923372935
2022-08-07,60338.34203448739
2022-08-08,73486.2635191893
2022-08-09,23329.644215103806
2022-08-10,59367.55674021684
2022-08-11,38175.92090472636
2022-08-12,43733.435297225704
2022-08-13,74569.41179759514
2022-08-14,69820.65295256615
2022-08-15,77343.62479778753
2022-08-16,37648.35109373038
2022-08-17,48227.10753668392
2022-08-18,49337.67110473769
2022-08-19,56427.83015659852
2022-08-20,66133.94057734807
2022-08-21,53897.7933055164
2022-08-22,30035.37960853656
2022-08-23,32424.200011420748
2022-08-24,54850.14603336378
2022-08-25,53629.21026559324
2022-08-26,30163.424658015036
2022-08-27,31707.5384416702
2022-08-28,28691.790037862593
2022-08-29,35589.38378329443
2022-08-30,25011.728329226535
2022-08-31,29225.445899967468
2022-09-01,82311.59831997588
2022-09-02,65603.99386625209
2022-09-03,76983.23008788114
2022-09-04,58776.628486588466
2022-09-05,29617.60895377783
2022-09-06,26508.303987854175
2022-09-07,61714.242524733956
2022-09-08,61648.735121177815
2022-09-09,23455.308532403214
2022-09-10,60632.032717397335
2022-09-11,35780.11264973109
2022-09-12,42742.98228207983
2022-09-13,42526.72324152391
2022-09-14,59906.29107334926
2022-09-15,69093.77773626057
2022-09-16,71660.37103133668
2022-09-17,69332.11372654761
2022-09-18,73619.38703969536
2022-09-19,61101.148143691986
2022-09-20,25676.85819964316
2022-09-21,19470.030167636913
2022-09-22,17610.77853355753
2022-09-23,25351.559464895414
2022-09-24,33836.57568675307
2022-09-25,38168.360263751834
2022-09-26,49990.93781640493
2022-09-27,23288.220637861858
2022-09-28,23201.94043784954
2022-09-29,33153.3260254608
2022-09-30,31591.458133135704
2022-10-01,68956.95298351989
2022-10-02,64120.447267387164
2022-10-03,76451.01648688615
2022-10-04,57623.27625239595
2022-10-05,31426.872731827767
2022-10-06,24602.834728802773
2022-10-07,56804.022635073066
2022-10-08,47987.90616084561
2022-10-09,31430.15551962513
2022-10-10,52834.245610108
2022-10-11,36568.257918561736
2022-10-12,45539.87140198254
2022-10-13,61192.15970559306
2022-10-14,57823.6988831825
2022-10-15,55620.845882376816
2022-10-16,37408.95870339892
2022-10-17,24661.62939989315
2022-10-18,30640.27539299683
2022-10-19,35641.745803905345
2022-10-20,36079.4586792272
2022-10-21,40107.546033418665
2022-10-22,31383.72049904421
2022-10-23,43764.09670460397
2022-10-24,47008.90876945671
2022-10-25,43052.48919589941
2022-10-26,43525.41944209275
2022-10-27,41581.171437989615
2022-10-28,40307.2093128852
2022-10-29,42169.49944826901
2022-10-30,40485.21744307007
2022-10-31,42550.283319852504
2022-11-01,73293.42593935887
2022-11-02,65720.09858476809
2022-11-03,77655.71757930976
2022-11-04,55420.4232515903
2022-11-05,30098.21368322581
2022-11-06,23001.403964782905
2022-11-07,33156.799573135286
2022-11-08,70486.90822184998
2022-11-09,39521.111312058274
2022-11-10,64052.81097157758
2022-11-11,36509.57584930021
2022-11-12,47817.03986185654
2022-11-13,31987.97646695243
2022-11-14,36132.40414299433
2022-11-15,37623.88115173472
2022-11-16,22649.904771553018
2022-11-17,28748.6641638085
2022-11-18,33425.98389859863
2022-11-19,26598.626692325328
2022-11-20,27146.20958311601
2022-11-21,33536.01891278637
2022-11-22,30950.12357904065
2022-11-23,36046.306784084896
2022-11-24,35689.29841530473
2022-11-25,31384.352252395285
2022-11-26,35824.2826413579
2022-11-27,38751.89013960604
2022-11-28,39198.84327056618
2022-11-29,34911.15559967629
2022-11-30,39214.0582159357
2022-12-01,70140.54818065341
2022-12-02,65290.05858690817
2022-12-03,77477.26622936457
2022-12-04,54297.47241146008
2022-12-05,31399.798714404067
2022-12-06,24636.405068382373
2022-12-07,36709.65312116743
2022-12-08,74165.16607386553
2022-12-09,44822.482698942404
2022-12-10,65783.49344285142
2022-12-11,38398.46916078041
2022-12-12,50803.768197089885
2022-12-13,51723.20871982451
2022-12-14,54705.75246625826
2022-12-15,56064.50013337507
2022-12-16,62137.10365598962
2022-12-17,63752.62396651176
2022-12-18,64387.35244286603
2022-12-19,69206.15681256041
2022-12-20,70437.09503353313
2022-12-21,72345.20912477472
2022-12-22,64288.607798564204
2022-12-23,72713.73938008006
2022-12-24,69218.12155350439
2022-12-25,70938.12311382276
2022-12-26,71272.48174400836
2022-12-27,70431.0212425097
2022-12-28,72666.92046956786
2022-12-29,74661.91604636195
2022-12-30,73065.43367449824
2022-12-31,68821.73315413231
